country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Hungary,Diner,6,1.3729977116704806,3.5833333333333335,67.0
Hungary,Eastern European,21,4.805491990846682,4.166666666666667,2700.0
Hungary,European,156,35.6979405034325,4.092948717948718,10404.0
Hungary,Fast food,46,10.526315789473683,3.6847826086956523,1953.0
Hungary,French,10,2.2883295194508007,4.6,1246.0
Hungary,Fusion,2,0.4576659038901602,4.5,366.0
Hungary,Gastropub,4,0.9153318077803204,4.125,140.0
Hungary,Greek,6,1.3729977116704806,3.8333333333333335,1284.0
Hungary,Grill,14,3.203661327231121,4.035714285714286,994.0
Hungary,Healthy,19,4.3478260869565215,4.394736842105263,3825.0
Hungary,Hungarian,130,29.74828375286041,4.096153846153846,8742.0
Hungary,Indian,2,0.4576659038901602,4.5,19.0
Hungary,International,40,9.153318077803203,4.1875,3730.0
Hungary,Irish,2,0.4576659038901602,4.25,224.0
Hungary,Israeli,1,0.2288329519450801,3.5,77.0
Hungary,Italian,43,9.839816933638444,4.151162790697675,3143.0
Hungary,Japanese,6,1.3729977116704806,4.333333333333333,669.0
Hungary,Korean,2,0.4576659038901602,3.5,42.0
Hungary,Lazio,3,0.6864988558352403,4.333333333333333,231.0
Hungary,Lebanese,1,0.2288329519450801,4.5,13.0
Hungary,Mediterranean,15,3.4324942791762014,3.9,2725.0
Hungary,Mexican,5,1.1441647597254003,4.2,184.0
Hungary,Middle Eastern,6,1.3729977116704806,3.5833333333333335,316.0
Hungary,Moroccan,1,0.2288329519450801,3.0,1.0
Hungary,Neapolitan,2,0.4576659038901602,4.5,194.0
Hungary,Not specified,66,15.102974828375288,4.037878787878788,2827.0
Hungary,Pakistani,1,0.2288329519450801,4.5,8.0
Hungary,Persian,1,0.2288329519450801,1.0,1.0
Hungary,Pizza,37,8.466819221967963,3.864864864864865,2674.0
Hungary,Portuguese,1,0.2288329519450801,4.0,7.0
Hungary,Pub,23,5.263157894736842,4.0,831.0
Hungary,Romana,3,0.6864988558352403,4.333333333333333,231.0
Hungary,Russian,3,0.6864988558352403,4.0,33.0
Hungary,Seafood,6,1.3729977116704806,4.416666666666667,575.0
Hungary,Sicilian,3,0.6864988558352403,4.333333333333333,766.0
Hungary,Soups,14,3.203661327231121,4.142857142857143,1536.0
Hungary,South American,1,0.2288329519450801,4.5,2.0
Hungary,Southern-Italian,4,0.9153318077803204,4.375,903.0
Hungary,Southwestern,1,0.2288329519450801,3.5,173.0
Hungary,Steakhouse,4,0.9153318077803204,4.625,147.0
Hungary,Street Food,20,4.576659038901601,4.25,952.0
Hungary,Sushi,9,2.059496567505721,4.166666666666667,813.0
